funcid,dim,milestone,error
22,50,1,1.908419e+04
22,50,2,1.892173e+04
22,50,3,1.888255e+04
22,50,5,1.888255e+04
22,50,10,1.881211e+04
22,50,20,1.879884e+04
22,50,30,1.879884e+04
22,50,40,1.879072e+04
22,50,50,1.879072e+04
22,50,60,1.879072e+04
22,50,70,1.879024e+04
22,50,80,1.879024e+04
22,50,90,1.879024e+04
22,50,100,1.879024e+04
