funcid,dim,milestone,error
7,50,1,1.516065e+03
7,50,2,1.501347e+03
7,50,3,1.498959e+03
7,50,5,1.491192e+03
7,50,10,1.484869e+03
7,50,20,1.484869e+03
7,50,30,1.484869e+03
7,50,40,1.484869e+03
7,50,50,1.484869e+03
7,50,60,1.484869e+03
7,50,70,1.484869e+03
7,50,80,1.484869e+03
7,50,90,1.484869e+03
7,50,100,1.484708e+03
