funcid,dim,milestone,error
16,30,1,2.573434e+04
16,30,2,2.573434e+04
16,30,3,2.569592e+04
16,30,5,2.569592e+04
16,30,10,2.565487e+04
16,30,20,2.565487e+04
16,30,30,2.565487e+04
16,30,40,2.565487e+04
16,30,50,2.565487e+04
16,30,60,2.563007e+04
16,30,70,2.563007e+04
16,30,80,2.563007e+04
16,30,90,2.563007e+04
16,30,100,2.563007e+04
