funcid,dim,milestone,error
16,50,1,2.310660e+04
16,50,2,2.285638e+04
16,50,3,2.280763e+04
16,50,5,2.280763e+04
16,50,10,2.280385e+04
16,50,20,2.278838e+04
16,50,30,2.278838e+04
16,50,40,2.277438e+04
16,50,50,2.277438e+04
16,50,60,2.277438e+04
16,50,70,2.277438e+04
16,50,80,2.277438e+04
16,50,90,2.277438e+04
16,50,100,2.277438e+04
