funcid,dim,milestone,error
4,10,1,5.455034e+03
4,10,2,5.423484e+03
4,10,3,5.377110e+03
4,10,5,5.377110e+03
4,10,10,5.377110e+03
4,10,20,5.377110e+03
4,10,30,5.377110e+03
4,10,40,5.377110e+03
4,10,50,5.377110e+03
4,10,60,5.377110e+03
4,10,70,5.377110e+03
4,10,80,5.377110e+03
4,10,90,5.377110e+03
4,10,100,5.377110e+03
